CustomerID	PhoneNumber
1 	011 + 49 + 30  + 555 - 2233
2 	011 + 52 + 55 + 555 - 1122
3 	011 + 52 + 55 + 555 - 2233
4 	011 + 44 + 20  + 555 - 2233
5 	011 + 46 + 46 + 555 - 2233
6 	011 + 49 + 621 + 555 - 8899
7 	011 + 33 + 3  + 555 - 9900
8 	011 + 34 + 91 + 555 - 2233
9 	011 + 33 + 4 + 555 - 3344
10 	 1 + 250 + 555 - 2233
11 	011 + 44 + 20  + 555 - 3344
12 	 011 + 54 + 11  + 555 - 1122
13 	011 + 52 + 55 + 555 - 3344
14 	011 + 41 + 31 + 555 - 1122
15 	011 + 55 + 11 + 555 - 6677
16 	011 + 44 + 20  + 555 - 4455
17 	 011 + 49 + 241  + 555 - 1122
18 	011 + 33 + 2 + 555 - 4455
19 	011 + 44 + 20  + 555 - 5566
20 	011 + 43 + 316 + 555 - 1122
21 	 011 + 55 + 11 + 555 - 7788
22 	011 + 34 + 91 + 555 - 3344
23 	011 + 33 + 3  + 555 - 1122
24 	011 + 46 + 8 + 555 - 1122
25 	011 + 49 + 89 + 555 - 9900
26 	011 + 33 + 2 + 555 - 5566
27 	011 + 39 + 011 + 555 - 3344
28 	011 + 351 + 21 + 555 - 1122
29 	011 + 34 + 93 + 555 - 1122
30 	011 + 34 + 95 + 555 - 5566
31 	011 + 55 + 19  + 555 - 1122
32 	(458) 555 - 6677
33 	011 + 58 + 212  + 555 - 2233
34 	011 + 55 + 21 + 555 - 3344
35 	011 + 58 + 76 + 555 - 4455
36 	(847) 555 - 5566
37 	011 + 353 + 21 + 555 - 1122
38 	011 + 44 + 1490 + 555 - 1122
39 	011 + 49 + 421 + 555 - 3344
40 	011 + 33 + 4 + 555 - 1111
41 	011 + 33 + 5 + 555 - 0011
42 	1 + 778 + 555 - 3344
43 	(509) 555 - 3333
44 	011 + 49 + 69 + 555 - 5566
45 	(415) 555 - 1111
46 	011 + 58 + 51 + 555 - 1122
47 	011 + 58 + 31 + 555 - 3344
48 	(503) 555 - 9900
49 	011 + 39 + 035 + 555 - 1122
50 	011 + 32 + 2  + 555 - 1122
51 	1 + 438 + 555 - 1122
52 	011 + 49 + 341 + 555 - 7788
53 	011 + 44 + 20  + 555 - 6677
54 	011 + 54 + 11  + 555- 2233
55 	(907) 555 - 2233
56 	011 + 49 + 431 + 555 - 6677
57 	011 + 33 + 1 + 555 - 6677
58 	011 + 52 + 55 + 555 - 4455
59 	011 + 43 + 662 + 555 - 2233
60 	011 + 351 + 21 + 555 - 2233
61 	011 + 55 + 21 +555 - 4455
62 	011 + 55 + 11 + 555 - 8899
63 	011 + 49 + 221  + 555 - 4455
64 	011 + 54 + 11  + 555 - 3344
65 	(505) 555 - 1122
66 	011 + 39 + 0965 + 555 - 2233
67 	011 + 55 + 21 + 555 - 5566
68 	011 + 41 + 22 + 555 - 2233
69 	011 + 34 + 91 + 555 - 4455
70 	011 + 47 + 555 - 1122
71 	(208) 555 - 3344
72 	011 + 44 + 20  + 555 - 7788
73 	011 + 45 + 555  - 2233
74 	011 + 33 + 1 + 555 - 7788
75 	(307) 555 - 8899
76 	011 + 32 + 71 + 555 - 2233
77 	(541) 555 - 0011
78 	(406) 555 - 4455
79 	011 + 49 + 6071 + 555 - 0011
80 	011 + 52 + 55 + 555 - 5566
81 	 011 + 55 + 11 + 555- 9900
82 	(425) 555 - 7788
83 	011 + 45 + 555 - 1122
84 	011 + 33 + 4 + 555 - 2233
85 	011 + 33 + 3 + 555 - 8899
86 	011 + 49 + 711 + 555 - 1111
87 	 011 + 358 + 8 + 555 - 2233
88 	011 + 55 + 81 + 555 - 2233
89 	(206) 555 - 2222
90 	011 + 358 + 9 + 555 - 1122
91 	011 + 48 + 52 + 555 - 1122
